,bias,domain,h,M,L,n,P,factual_rating,u,p,f,t
17,left-center,abcnews.go.com,https://abcnews.go.com,77,17070597,ABC News,100,HIGH,https://mediabiasfactcheck.com/abc-news/,/,https://facebook.com/abcnews,https://twitter.com/abc
18,left-center,abc.net.au,https://abc.net.au,74,5532550,ABC News Australia,90,HIGH,https://mediabiasfactcheck.com/abc-news-australia/,/,https://facebook.com/abc,https://twitter.com/abcaustralia
19,left-center,abc11.com,https://abc11.com,56,163789,ABC11 Eyewitness News,47,HIGH,https://mediabiasfactcheck.com/abc11-eyewitness-news/,/,https://facebook.com/abc11,https://twitter.com/abc11_wtvd
20,satire,abriluno.com,https://abriluno.com,35,268,Abril Uno,23,SATIRE,https://mediabiasfactcheck.com/abril-uno/,/,,
21,fake-news,abcnews-us.com,https://abcnews-us.com,20,18,abcnews-us.com,16,VERY LOW,https://mediabiasfactcheck.com/abcnews-us-com/,/,,
22,conspiracy,abovetopsecret.com,https://abovetopsecret.com,62,170438,Above Top Secret,68,LOW,https://mediabiasfactcheck.com/above-top-secret/,/,https://facebook.com/atsnews,
23,fake-news,avoiceformen.com,https://avoiceformen.com,54,52202,A Voice for Men,56,LOW,https://mediabiasfactcheck.com/a-voice-for-men/,/,,
24,left-center,abovethelaw.com,https://abovethelaw.com,60,807265,Above the Law,87,HIGH,https://mediabiasfactcheck.com/above-the-law/,/,https://facebook.com/abovethelawblog,https://twitter.com/atlblog
25,conspiracy,abeldanger.org,https://abeldanger.org,41,7283,Abel Danger,38,MIXED,https://mediabiasfactcheck.com/abel-danger/,/,,
26,center,news.abs-cbn.com,https://news.abs-cbn.com,60,671838,ABS-CBN,65,HIGH,https://mediabiasfactcheck.com/abs-cbn-news/,/,https://facebook.com/abscbnnews,https://twitter.com/abscbnnews
27,right,academia.org,https://academia.org,48,183973,Accuracy in Academia (AIA),69,MIXED,https://mediabiasfactcheck.com/accuracy-in-academia-aia/,/,https://facebook.com/accuracyinacademia,https://twitter.com/campusreport
28,left-center,aclu.org,https://aclu.org,71,1896676,ACLU,93,MIXED,https://mediabiasfactcheck.com/american-civil-liberties-union-aclu/,/,https://facebook.com/aclu,https://twitter.com/aclu
29,right,aim.org,https://aim.org,58,521556,Accuracy in Media,82,MIXED,https://mediabiasfactcheck.com/accuracy-in-media-aim/,/,https://facebook.com/accuracyinmedia,https://twitter.com/accuracyinmedia
30,satire,aceflashman.wordpress.com,https://aceflashman.wordpress.com,29,130,Ace Flashman,23,SATIRE,https://mediabiasfactcheck.com/ace-flashman/,/,,
31,right,acculturated.com,https://acculturated.com,45,106165,Acculturated,65,MOSTLY FACTUAL,https://mediabiasfactcheck.com/acculturated/,/,https://facebook.com/acculturated,
32,left,act.tv,https://act.tv,33,10850,Act.TV,38,MOSTLY FACTUAL,https://mediabiasfactcheck.com/act-tv/,/,https://facebook.com/actdottv,https://twitter.com/actdottv
33,conspiracy,latitudes.org,https://latitudes.org,46,78674,ACN Latitudes,37,MIXED,https://mediabiasfactcheck.com/acn-latitudes/,/,https://facebook.com/acnlatitudes,https://twitter.com/acnlatitudes
34,right,acting-man.com,https://acting-man.com,53,362398,Acting Man,80,MIXED,https://mediabiasfactcheck.com/acting-man/,/,,
35,left,advocate.com,https://advocate.com,64,484781,The Advocate,81,HIGH,https://mediabiasfactcheck.com/advocate/,/,https://facebook.com/theadvocate,https://twitter.com/theadvocatemag
36,left-center,africanarguments.org,https://africanarguments.org,50,75962,African Arguments,60,HIGH,https://mediabiasfactcheck.com/african-arguments/,/,https://facebook.com/africanarguments,
37,center,africanews.com,https://africanews.com,58,3561718,Africa News,96,HIGH,https://mediabiasfactcheck.com/africa-news/,/,https://facebook.com/africanews.channel,https://twitter.com/africanews
38,fake-news,activistmommy.com,https://activistmommy.com,43,4845,Activist Mommy,36,LOW,https://mediabiasfactcheck.com/activist-mommy/,/,https://facebook.com/theactivistmommy,
39,left-center,affinitymagazine.us,https://affinitymagazine.us,44,37114,Affinity Magazine,28,HIGH,https://mediabiasfactcheck.com/affinity-magazine/,/,,
40,conspiracy,activistpost.com,https://activistpost.com,60,878290,Activist Post,87,LOW,https://mediabiasfactcheck.com/activist-post/,/,https://facebook.com/activistpost?v,
41,conspiracy,awdnews.com,https://awdnews.com,46,857,ADW News,28,MIXED,https://mediabiasfactcheck.com/adw-news/,/,https://facebook.com/awdnews,
42,left-center,aeon.co,https://aeon.co,60,207882,Aeon,72,HIGH,https://mediabiasfactcheck.com/aeon/,/,https://facebook.com/aeonmagazine,https://twitter.com/aeonmag
43,left,addictinginfo.com,https://addictinginfo.com,39,297434,Addicting Info,75,MIXED,https://mediabiasfactcheck.com/addicting-info/,/,https://facebook.com/addictinginfoorg,https://twitter.com/addinfoorg
44,satire,adobochronicles.com,https://adobochronicles.com,39,2289,Adobo Chronicles,26,SATIRE,https://mediabiasfactcheck.com/the-adobo-chronicles/,/,https://facebook.com/theadobochronicles,https://twitter.com/adobochronicles
45,conspiracy,ageofautism.com,https://ageofautism.com,54,238142,Age of Autism,60,LOW,https://mediabiasfactcheck.com/age-of-autism/,/,https://facebook.com/age,https://twitter.com/ageofautism
46,fake-news,ageofshitlords.com,https://ageofshitlords.com,40,19714,Age of Shitlords,37,LOW,https://mediabiasfactcheck.com/age-of-shitlords/,/,,https://twitter.com/ageofshitlords
47,right,ac2news.com,https://ac2news.com,32,11497,Against Crony Capitalism,42,HIGH,https://mediabiasfactcheck.com/against-crony-capitialism/,/,https://facebook.com/againstcronycapitalism,
48,center,afp.com,https://afp.com,69,2117406,Agence France-Presse (AFP),89,HIGH,https://mediabiasfactcheck.com/afp-agence-france-presse/,/,https://facebook.com/afpnewsenglish,https://twitter.com/afpfr
49,pro-science,airspacemag.com,https://airspacemag.com,55,1445278,Air and Space Mag,88,VERY HIGH,https://mediabiasfactcheck.com/air-space-magazine/,/,https://facebook.com/airspacemag,https://twitter.com/airspacemag
50,center,agerpres.ro,https://agerpres.ro,59,2909541,Agerpres,93,HIGH,https://mediabiasfactcheck.com/agerpres/,/,https://facebook.com/agerpres,
51,right-center,english.ahram.org.eg,https://english.ahram.org.eg,59,1191126,Ahram Online,80,MIXED,https://mediabiasfactcheck.com/ahram-online/,/,https://facebook.com/ahramonline,
52,center,airwars.org,https://airwars.org,53,33321,Airwars,49,HIGH,https://mediabiasfactcheck.com/airwars/,/,,https://twitter.com/airwars
53,left,akkadiantimes.com,https://akkadiantimes.com,22,523,Akkadian Times,27,HIGH,https://mediabiasfactcheck.com/akkadian-times/,/,,
54,left-center,alhayat.com,https://alhayat.com,55,376686,Al-Hayat,79,HIGH,https://mediabiasfactcheck.com/al-hayat/,/,https://facebook.com/alhayatdaily,https://twitter.com/alhayatdaily
55,center,english.alarabiya.net,https://english.alarabiya.net,62,3542107,Al Arabiya,95,HIGH,https://mediabiasfactcheck.com/al-arabiya/,/,,
56,center,albawaba.com,https://albawaba.com,61,1063901,Al Bawaba,78,HIGH,https://mediabiasfactcheck.com/al-bawaba/,/,https://facebook.com/albawabanews,https://twitter.com/albawabaenglish
57,left-center,almasdarnews.com,https://almasdarnews.com,54,133154,Al-Masdar News,60,MIXED,https://mediabiasfactcheck.com/al-masdar-news-amn/,/,https://facebook.com/thearabsource,https://twitter.com/thearabsource
58,left-center,beaconjournal.com,https://beaconjournal.com/,39,360,Akron Beacon Journal,20,HIGH,https://mediabiasfactcheck.com/akron-beacon-journal/,/,https://facebook.com/akronbeaconjournal,https://twitter.com/beaconjournaldotcom
59,left-center,aljazeera.com,https://aljazeera.com,72,7805699,Al Jazeera,98,MIXED,https://mediabiasfactcheck.com/al-jazeera/,/,https://facebook.com/aljazeera,https://twitter.com/ajenglish
60,left-center,al-monitor.com,https://al-monitor.com,58,217900,Al Monitor,59,HIGH,https://mediabiasfactcheck.com/al-monitor/,/,https://facebook.com/almonitor,https://twitter.com/almonitor
61,center,eng.majalla.com,https://eng.majalla.com,40,4378,Al Majalla,22,HIGH,https://mediabiasfactcheck.com/al-majalla/,/,https://facebook.com/the.majalla,https://twitter.com/the_majalla
62,right-center,al.com,https://al.com,66,3170619,Al.com (Alabama News),73,HIGH,https://mediabiasfactcheck.com/al-com-alabama-news/,/,https://facebook.com/aldotcom,https://twitter.com/aldotcom
63,left-center,al-sura.com,https://al-sura.com,30,39,Al-Sura,20,MIXED,https://mediabiasfactcheck.com/al-sura/,/,https://facebook.com/alsuraenglish,
64,center,altoday.com,https://altoday.com,40,1476,Alabama Today,31,HIGH,https://mediabiasfactcheck.com/alabama-today/,/,,
65,center,alreporter.com,https://alreporter.com,43,80359,Alabama Political Reporter,40,HIGH,https://mediabiasfactcheck.com/alabama-political-reporter/,/,https://facebook.com/alreporter,
66,left-center,guttmacher.org,https://guttmacher.org,61,47283,Alan Guttmacher Institute,52,HIGH,https://mediabiasfactcheck.com/alan-guttmacher-institute/,/,https://facebook.com/guttmacher,https://twitter.com/guttmacher
67,center,democratherald.com,https://democratherald.com,49,14521,Albany Democrat-Herald,43,HIGH,https://mediabiasfactcheck.com/albany-democrat-herald/,/,https://facebook.com/dhnews,https://twitter.com/dhnews
68,left-center,timesunion.com,https://timesunion.com,64,1206234,Albany Times-Union,66,HIGH,https://mediabiasfactcheck.com/albany-times-union/,/,https://facebook.com/albanytimesunion,https://twitter.com/timesunion
69,left-center,adn.com,https://adn.com,64,290439,Alaska Dispatch News,69,HIGH,https://mediabiasfactcheck.com/alaska-dispatch-news/,/,https://facebook.com/anchoragedailynews,https://twitter.com/adndotcom
70,right-center,abqjournal.com,https://abqjournal.com,61,402312,Albuquerque Journal,60,HIGH,https://mediabiasfactcheck.com/albuquerque-journal/,/,https://facebook.com/thealbuquerquejournal,https://twitter.com/abqjournal
71,fake-news,allnewspipeline.com,https://allnewspipeline.com,50,27276,All News Pipeline,49,LOW,https://mediabiasfactcheck.com/all-news-pipeline/,/,,
72,fake-news,allenwestrepublic.com,https://allenwestrepublic.com,39,31748,Allen West Republic,51,LOW,https://mediabiasfactcheck.com/allen-west-republic/,/,https://facebook.com/allenwestrepublic,https://twitter.com/greatamrepublic
73,center,securingdemocracy.gmfus.org,https://securingdemocracy.gmfus.org,52,2917,Alliance For Securing Democracy,32,HIGH,https://mediabiasfactcheck.com/alliance-securing-democracy/,/,https://facebook.com/securedemocracy,https://twitter.com/securedemocracy
74,center,adfontesmedia.com,https://adfontesmedia.com,37,453,Ad Fontes Media,26,HIGH,https://mediabiasfactcheck.com/all-generalizations-are-false-ad-fontes-media/,/,https://facebook.com/adfontesmedia,https://twitter.com/adfontesmedia
75,left-center,allgov.com,https://allgov.com,54,197970,AllGov,69,HIGH,https://mediabiasfactcheck.com/allgov/,/,https://facebook.com/allgov,
76,left-center,alliedprogress.org,https://alliedprogress.org,37,424,Allied Progress,26,HIGH,https://mediabiasfactcheck.com/allied-progress/,/,,
77,left,afj.org,https://afj.org,51,137870,Alliance for Justice (AFJ),67,HIGH,https://mediabiasfactcheck.com/alliance-for-justice-afj/,/,https://facebook.com/allianceforjustice,https://twitter.com/afjustice
78,fake-news,adflegal.org,https://adflegal.org,61,645093,Alliance Defending Freedom,85,LOW,https://mediabiasfactcheck.com/alliance-defending-freedom/,/,https://facebook.com/alliancedefendingfreedom,https://twitter.com/alliancedefends
79,left,allthatsfab.com,https://allthatsfab.com,37,41773,All That's Fab,40,MIXED,https://mediabiasfactcheck.com/all-thats-fab/,/,https://facebook.com/allthatsfab,
80,conspiracy,allianceforadvancedhealth.com,https://allianceforadvancedhealth.com,30,2208,Alliance for Advanced Health,30,MIXED,https://mediabiasfactcheck.com/alliance-advanced-health/,/,,
81,fake-news,alphanewsmn.com,https://alphanewsmn.com,43,15259,Alpha News,44,LOW,https://mediabiasfactcheck.com/alpha-news/,/,https://facebook.com/alphanewsmn,
82,conspiracy,alt-market.com,https://alt-market.com,53,356856,Alt-Market,80,MIXED,https://mediabiasfactcheck.com/alt-market/,/,,
83,conspiracy,amtvmedia.com,https://amtvmedia.com,44,11564,Alternative Media Television (AMTV),37,LOW,https://mediabiasfactcheck.com/alternative-media-television-amtv/,/,https://facebook.com/amtvmedia,https://twitter.com/amtvmedia
84,conspiracy,alternativenewsnetwork.net,https://alternativenewsnetwork.net,32,591,Alternative News Network,24,MIXED,https://mediabiasfactcheck.com/alternative-news-network/,/,https://facebook.com/alternativenewsnetwork.sr,
85,conspiracy,alternativenews.com,https://alternativenews.com,41,7650,AlternativeNews.com,39,LOW,https://mediabiasfactcheck.com/alternativenews-com/,/,,
86,left,alternet.org,https://alternet.org,69,3358583,Alternet,96,MIXED,https://mediabiasfactcheck.com/alternet/,/,https://facebook.com/alternetnews,
87,right-center,americanactionforum.org,https://americanactionforum.org,48,42863,American Action Forum,38,HIGH,https://mediabiasfactcheck.com/american-action-forum/,/,https://facebook.com/americanactionforum,https://twitter.com/aaf
88,left-center,amny.com,https://amny.com,58,1543565,AM New York,91,HIGH,https://mediabiasfactcheck.com/am-new-york/,/,https://facebook.com/amnewyork,https://twitter.com/amnewyork
89,conspiracy,althealthworks.com,https://althealthworks.com,46,65126,AltHealth Works,57,LOW,https://mediabiasfactcheck.com/althealth-works/,/,https://facebook.com/alternativehealthworks,https://twitter.com/althealthworks
90,left,americablog.com,https://americablog.com,55,1392226,America Blog,90,HIGH,https://mediabiasfactcheck.com/americablog/,/,https://facebook.com/americablog,https://twitter.com/americablog
91,left,aidc.org.za,https://aidc.org.za,40,5168,Amandla,33,HIGH,https://mediabiasfactcheck.com/amandla/,/,https://facebook.com/amandlamedia,https://twitter.com/amandlamedia
92,fake-news,amazingnews.net,https://amazingnews.net,12,1,Amazingnews.net,11,LOW,https://mediabiasfactcheck.com/amazingnews-net/,/,,
93,right,altnewsmedia.net,https://altnewsmedia.net,34,191,AltNewsMedia.net,22,MIXED,https://mediabiasfactcheck.com/altnewsmedia-net/,/,https://facebook.com/altnewsmedia,https://twitter.com/altnewsmedia
94,pro-science,aaas.org,https://aaas.org,66,1301481,American association for the advancement of science.,90,VERY HIGH,https://mediabiasfactcheck.com/american-association-for-the-advancement-of-science-aaas/,/,https://facebook.com/aaas.science,https://twitter.com/aaas
95,pro-science,aap.org,https://aap.org,69,400951,American Academy of Pediatrics,81,VERY HIGH,https://mediabiasfactcheck.com/american-academy-of-pediatrics/,/,https://facebook.com/ameracadpeds,https://twitter.com/ameracadpeds
96,left,americanbridgepac.org,https://americanbridgepac.org,46,2201,American Bridge 21st Century,32,MIXED,https://mediabiasfactcheck.com/american-bridge-21st-century/,/,https://facebook.com/americanbridge,
97,center,amarillo.com,https://amarillo.com,56,94251,Amarillo Globe-News,57,HIGH,https://mediabiasfactcheck.com/amarillo-globe-news/,/,https://facebook.com/amarilloglobenews,https://twitter.com/amarilloglobe
98,right,aclj.org,https://aclj.org,57,253208,American Center for Law & Justice (ACLJ),75,MIXED,https://mediabiasfactcheck.com/american-center-law-justice-aclj/,/,https://facebook.com/jaysekulow,https://twitter.com/jordansekulow
99,left-center,americamagazine.org,https://americamagazine.org,59,186574,America Magazine,69,HIGH,https://mediabiasfactcheck.com/america-magazine/,/,https://facebook.com/americamag,https://twitter.com/americamag
100,right-center,americanaffairsjournal.org,https://americanaffairsjournal.org,45,12949,American Affairs Journal,43,HIGH,https://mediabiasfactcheck.com/american-affairs-journal/,/,https://facebook.com/americanaffairsjournal,
101,fake-news,acpeds.org,https://acpeds.org,49,4843,American College of Pediatricians,32,MIXED,https://mediabiasfactcheck.com/american-college-of-pediatricians/,/,,
102,right,americanconsequences.com,https://americanconsequences.com,32,25033,American Consequences,48,MIXED,https://mediabiasfactcheck.com/american-consequences/,/,https://facebook.com/american,
103,right-center,acsh.org,https://acsh.org,53,108248,American Council on Science and Health (ACSH),65,HIGH,https://mediabiasfactcheck.com/american-council-on-science-and-health/,/,https://facebook.com/acshorg,https://twitter.com/acshorg
104,conspiracy,americandigitalnews.com,https://americandigitalnews.com,34,1882,American Digital News,31,MIXED,https://mediabiasfactcheck.com/american-digital-news/,/,https://facebook.com/groups/1722717411299460,
105,conspiracy,americanintelligencereport.com,https://americanintelligencereport.com,37,10148,American Intelligence Report,40,MIXED,https://mediabiasfactcheck.com/american-intelligence-report/,/,,
106,fake-news,afa.net,https://afa.net,60,198346,American Family Association,72,LOW,https://mediabiasfactcheck.com/american-family-association/,/,http://facebook.com/american-family-association,https://twitter.com/americanfamassc
107,conspiracy,americanfreepress.net,https://americanfreepress.net,54,224222,American Free Press,72,LOW,https://mediabiasfactcheck.com/american-free-press/,/,,
108,right,americansforprosperity.org,https://americansforprosperity.org,55,322470,American for Prosperity,77,MIXED,https://mediabiasfactcheck.com/americans-for-prosperity/,/,https://facebook.com/fightback,https://twitter.com/afphq
109,fake-news,americasfreedomfighters.com,https://americasfreedomfighters.com,44,3704,Americas Freedom Fighters,33,VERY LOW,https://mediabiasfactcheck.com/american-freedom-fighters/,/,,
110,right-center,afpc.org,https://afpc.org,47,56506,American Foreign Policy council,56,HIGH,https://mediabiasfactcheck.com/american-foreign-policy-council/,/,https://facebook.com/americanforeignpolicycouncil,https://twitter.com/afpc
111,pro-science,sites.agu.org,https://sites.agu.org,60,344533,American Geophysical Union (AGU),79,VERY HIGH,https://mediabiasfactcheck.com/american-geophysical-union-agu/,/,https://facebook.com/americangeophysicalunion,https://twitter.com/theagu
112,right,amgreatness.com,https://amgreatness.com,49,243236,American Greatness,74,MIXED,https://mediabiasfactcheck.com/american-greatness/,/,https://facebook.com/theamericangreatness,https://twitter.com/theamgreatness
113,right-center,aier.org,https://aier.org,47,4815,American Institute for Economic Research,31,HIGH,https://mediabiasfactcheck.com/american-institute-for-economic-research/,/,https://facebook.com/aierdotorg,https://twitter.com/aier
114,fake-news,americanflavor.news,https://americanflavor.news,15,243,American Flavor News,15,VERY LOW,https://mediabiasfactcheck.com/american-flavor/,/,,
115,center,americanheritage.com,https://americanheritage.com,56,98684,American Heritage,61,HIGH,https://mediabiasfactcheck.com/american-heritage/,/,https://facebook.com/ameriheritage,https://twitter.com/ameriheritage
116,fake-news,americanjournalreview.com,https://americanjournalreview.com,34,154,American Journal Review,24,LOW,https://mediabiasfactcheck.com/american-journal-review/,/,,
117,conspiracy,aim4truth.org,https://aim4truth.org,43,106089,American Intelligence Media,61,MIXED,https://mediabiasfactcheck.com/american-intelligence-media/,/,,
118,conspiracy,ahtribune.com,https://ahtribune.com,47,26636,American Herald Tribune,46,MIXED,https://mediabiasfactcheck.com/american-herald-tribune/,/,,https://twitter.com/ahtribune
119,left-center,americanimmigrationcouncil.org,https://americanimmigrationcouncil.org,52,70632,American Immigration Council,55,HIGH,https://mediabiasfactcheck.com/american-immigration-council/,/,https://facebook.com/122037065517,https://twitter.com/immcouncil
120,pro-science,ajaonline.org,https://ajaonline.org,47,29861,American Journal of Archaeology,48,VERY HIGH,https://mediabiasfactcheck.com/american-journal-of-archaeology/,/,https://facebook.com/aja.journal,
121,right,aei.org,https://aei.org,65,8728836,American Enterprise Institute,99,MIXED,https://mediabiasfactcheck.com/american-enterprise-institute/,/,https://facebook.com/aei,https://twitter.com/aei
122,right-center,americanfirearms.org,https://americanfirearms.org,35,2205,American Firearms Institute,23,HIGH,https://mediabiasfactcheck.com/american-firearms-institute/,/,,
123,pro-science,aps.org,https://aps.org,66,568165,American Physical Society (APS),73,VERY HIGH,https://mediabiasfactcheck.com/american-physical-society-aps/,/,https://facebook.com/apsphysics,https://twitter.com/apsphysics
124,right,americanlibertyreport.com,https://americanlibertyreport.com,31,2941,American Liberty Report,31,MIXED,https://mediabiasfactcheck.com/american-liberty-report/,/,,
125,left,americannewsx.com,https://americannewsx.com,37,539,ANX News (American News X),25,MIXED,https://mediabiasfactcheck.com/american-news-x/,/,,
126,fake-news,amren.com,https://amren.com,57,292819,American Renaissance Magazine,77,LOW,https://mediabiasfactcheck.com/american-renaissance-magazine/,/,,
127,center,americanmilitarynews.com,https://americanmilitarynews.com,48,67147,American Military News,43,MOSTLY FACTUAL,https://mediabiasfactcheck.com/american-military-news/,/,https://facebook.com/americanmilitarynews,https://twitter.com/amermilnews
128,center,americanpressinstitute.org,https://americanpressinstitute.org,53,29483,American Press Institute (API),49,VERY HIGH,https://mediabiasfactcheck.com/american-press-institute-api/,/,https://facebook.com/americanpressinstitute,https://twitter.com/ampress
129,right,alec.org,https://alec.org,56,91720,American Legislative Exchange Council (ALEC),62,MIXED,https://mediabiasfactcheck.com/american-legislative-exchange-council-alec/,/,https://facebook.com/alec.states,https://twitter.com/alec_states
130,fake-news,americanpatriotdaily.com,https://americanpatriotdaily.com,37,20789,American Patriot Daily,40,MIXED,https://mediabiasfactcheck.com/american-patriot-daily/,/,https://facebook.com/americanpatriotdailynews,
131,pro-science,apsa.org,https://apsa.org,50,34692,American Psychoanalytic Association,52,VERY HIGH,https://mediabiasfactcheck.com/american-psychoanalytic-association/,/,https://facebook.com/american.psychoanalysis,https://twitter.com/psychoanalysis_
132,fake-news,americanlookout.com,https://americanlookout.com,43,21235,American Lookout,47,LOW,https://mediabiasfactcheck.com/american-lookout/,/,,
133,fake-news,americanpeoplenetwork.com,https://americanpeoplenetwork.com,10,1657,American People Network,11,VERY LOW,https://mediabiasfactcheck.com/american-people-network/,/,,
134,right,americandailynews.org,https://americandailynews.org,22,9,American News 24/7,15,MIXED,https://mediabiasfactcheck.com/american-news-24-7/,/,,
135,fake-news,americanprinciplesproject.org,https://americanprinciplesproject.org,44,30226,American Principles Project,50,LOW,https://mediabiasfactcheck.com/american-principles-project/,/,https://facebook.com/americanprinciplesproject,
136,fake-news,americanprides.org,https://americanprides.org,21,7,American Prides,15,LOW,https://mediabiasfactcheck.com/american-prides/,/,,
137,pro-science,americanscientist.org,https://americanscientist.org,58,136763,American Scientist,68,VERY HIGH,https://mediabiasfactcheck.com/american-scientist/,/,https://facebook.com/americanscientist,https://twitter.com/amscimag
138,left-center,americanpublicmedia.org,https://americanpublicmedia.org,39,675248,American Public Media,86,HIGH,https://mediabiasfactcheck.com/american-public-media/,/,,
139,right,spectator.org,https://spectator.org,60,9433797,American Spectator,99,MIXED,https://mediabiasfactcheck.com/american-spectator/,/,https://facebook.com/americanspectator,https://twitter.com/amspectator
140,fake-news,americantoday.news,https://americantoday.news,30,8111,American Today,19,LOW,https://mediabiasfactcheck.com/american-today/,/,,
141,fake-news,anews-24.com,https://anews-24.com,16,46,anews-24 (American News),19,VERY LOW,https://mediabiasfactcheck.com/anews-24-com-american-news/,/,,
142,fake-news,americantruthseekers.com,https://americantruthseekers.com,18,7,American Truth Seekers,13,LOW,https://mediabiasfactcheck.com/american-truth-seekers/,/,,
143,fake-news,americanthinker.com,https://americanthinker.com,65,2786512,American Thinker,95,LOW,https://mediabiasfactcheck.com/american-thinker/,/,https://facebook.com/american-thinker,https://twitter.com/americanthinker
144,fake-news,americanupdater.com,https://americanupdater.com,22,33,American Updater,20,LOW,https://mediabiasfactcheck.com/american-updater/,/,,
145,conspiracy,ancient-code.com,https://ancient-code.com,52,53164,Ancient Code,55,MIXED,https://mediabiasfactcheck.com/ancient-code/,/,https://facebook.com/theancientcode,https://twitter.com/theancientcode
146,right,aa.com.tr,https://aa.com.tr,61,2169151,Anadolu Agency,91,MIXED,https://mediabiasfactcheck.com/anadolu-agency/,/,https://facebook.com/anadoluagencyenglish,
147,conspiracy,ancient-origins.net,https://ancient-origins.net,57,434632,Ancient Origins,81,MIXED,https://mediabiasfactcheck.com/ancient-origins/,/,https://facebook.com/ancientoriginsweb,https://twitter.com/ancientorigins
148,satire,amplifyingglass.com,https://amplifyingglass.com,30,40,Amplifying Glass,19,SATIRE,https://mediabiasfactcheck.com/amplifying-glass/,/,,
149,left,angrywhitemen.org,https://angrywhitemen.org,38,31454,Angry White Men,51,HIGH,https://mediabiasfactcheck.com/angry-white-men/,/,,
150,right,ammoland.com,https://ammoland.com,58,133651,Ammoland,62,MOSTLY FACTUAL,https://mediabiasfactcheck.com/ammoland/,/,,
151,fake-news,aattp.org,https://aattp.org,44,100728,Americans Against the Tea Party (AATTP),50,LOW,https://mediabiasfactcheck.com/americans-against-the-tea-party-aattp/,/,,
152,left-center,amnesty.org,https://amnesty.org,72,3667337,Amnesty International,96,HIGH,https://mediabiasfactcheck.com/amnesty-international/,/,https://facebook.com/amnestyglobal,https://twitter.com/amnesty
153,left,au.org,https://au.org,58,388691,Americans United for Separation of Church and State,79,HIGH,https://mediabiasfactcheck.com/american-united-separation-church-state/,/,https://facebook.com/americansunited,https://twitter.com/americansunited
154,right-center,americasquarterly.org,https://americasquarterly.org,53,183028,Americas Quarterly,45,HIGH,https://mediabiasfactcheck.com/americas-quarterly/,/,https://facebook.com/americasquarterly,https://twitter.com/amerquarterly
155,fake-news,tfp.org,https://tfp.org,52,76104,"American Society for the Defense of Tradition, Family, and Property",57,LOW,https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/,/,https://facebook.com/tradition.family.property.tfp,https://twitter.com/americatfp
