,domain,source
102,americanconsequences.com,['mbfc']
103,acsh.org,['mbfc']
104,americandigitalnews.com,['mbfc']
105,americanintelligencereport.com,['mbfc']
106,afa.net,['mbfc']
107,americanfreepress.net,"['opensources', 'mbfc']"
108,americansforprosperity.org,['mbfc']
109,americasfreedomfighters.com,"['allcott', 'opensources', 'mbfc']"
110,afpc.org,['mbfc']
111,sites.agu.org,['mbfc']
112,amgreatness.com,['mbfc']
113,aier.org,['mbfc']
114,americanflavor.news,"['mbfc', 'politifact']"
115,americanheritage.com,['mbfc']
116,americanjournalreview.com,"['allcott', 'mbfc']"
117,aim4truth.org,['mbfc']
118,ahtribune.com,"['opensources', 'mbfc']"
119,americanimmigrationcouncil.org,['mbfc']
120,ajaonline.org,['mbfc']
121,aei.org,['mbfc']
122,americanfirearms.org,['mbfc']
123,aps.org,['mbfc']
124,americanlibertyreport.com,['mbfc']
125,americannewsx.com,"['opensources', 'mbfc']"
126,amren.com,"['opensources', 'mbfc']"
127,americanmilitarynews.com,"['allcott', 'mbfc']"
128,americanpressinstitute.org,['mbfc']
129,alec.org,['mbfc']
130,americanpatriotdaily.com,"['opensources', 'mbfc']"
131,apsa.org,['mbfc']
132,americanlookout.com,"['allcott', 'opensources', 'mbfc']"
133,americanpeoplenetwork.com,"['mbfc', 'politifact']"
134,americandailynews.org,['mbfc']
135,americanprinciplesproject.org,['mbfc']
136,americanprides.org,['mbfc']
137,americanscientist.org,['mbfc']
138,americanpublicmedia.org,['mbfc']
139,spectator.org,['mbfc']
140,americantoday.news,"['allcott', 'opensources', 'mbfc']"
141,anews-24.com,['mbfc']
142,americantruthseekers.com,['mbfc']
143,americanthinker.com,"['opensources', 'mbfc']"
144,americanupdater.com,"['allcott', 'mbfc']"
145,ancient-code.com,"['opensources', 'mbfc']"
146,aa.com.tr,['mbfc']
147,ancient-origins.net,['mbfc']
148,amplifyingglass.com,"['opensources', 'mbfc']"
149,angrywhitemen.org,['mbfc']
150,ammoland.com,"['opensources', 'mbfc']"
151,aattp.org,['mbfc']
152,amnesty.org,['mbfc']
153,au.org,['mbfc']
154,americasquarterly.org,['mbfc']
155,tfp.org,['mbfc']
156,awm.com,"['opensources', 'mbfc']"
157,azcapitoltimes.com,['mbfc']
158,archaeology.org,['mbfc']
159,antifascistnews.net,['mbfc']
160,answersingenesis.org,['mbfc']
161,antiwar.com,"['opensources', 'mbfc']"
162,arabnews.com,['mbfc']
163,anthropocenemagazine.org,['mbfc']
164,anonews.co,"['allcott', 'opensources', 'mbfc']"
165,aranews.net,['mbfc']
166,apmreports.org,['mbfc']
167,aol.com,['mbfc']
168,ae911truth.org,['mbfc']
169,adl.org,['mbfc']
170,annistonstar.com,['mbfc']
171,arkansasonline.com,['mbfc']
172,asia-pacificresearch.com,"['opensources', 'mbfc']"
173,arizonadailyindependent.com,['mbfc']
174,asamericanasapplepie.org,"['mbfc', 'politifact']"
175,apnews.com,['mbfc']
176,azcentral.com,['mbfc']
177,citizen-times.com,['mbfc']
178,aina.org,['mbfc']
179,atimes.com,['mbfc']
180,asiancorrespondent.com,['mbfc']
181,armstrongeconomics.com,['mbfc']
182,arktimes.com,['mbfc']
183,aninews.in,['mbfc']
184,tucson.com,['mbfc']
185,assassinationscience.com,"['opensources', 'mbfc']"
186,israelnationalnews.com,['mbfc']
187,azdailysun.com,['mbfc']
188,arstechnica.com,['mbfc']
189,autisticadvocacy.org,['mbfc']
190,afr.com,['mbfc']
191,attn.com,"['opensources', 'mbfc']"
192,ajc.com,['mbfc']
193,babylonbee.com,"['mbfc', 'politifact']"
194,autostraddle.com,['mbfc']
195,atlanticcouncil.org,['mbfc']
196,australiannationalreview.com,['mbfc']
197,atlantablackstar.com,['mbfc']
198,astronomy.com,['mbfc']
199,awarenessact.com,"['allcott', 'opensources', 'mbfc', 'politifact']"
200,axios.com,['mbfc']
201,atlanticmedia.com,['mbfc']
202,magazine.atavist.com,['mbfc']
203,axiomnewsnetwork.com,['mbfc']
204,atomicmonkey.wordpress.com,['mbfc']
205,skeptics.com.au,['mbfc']
206,autismspeaks.org,['mbfc']
207,statesman.com,['mbfc']
208,baptistnews.com,"['opensources', 'mbfc']"
209,bb4sp.com,"['opensources', 'mbfc', 'politifact']"
210,bangordailynews.com,['mbfc']
211,baxterbulletin.com,['mbfc']
212,backchannel.com,['mbfc']
213,balkaninsight.com,['mbfc']
214,baltimoresun.com,['mbfc']
215,ebar.com,['mbfc']
216,beaware.one,['mbfc']
217,battlecreekenquirer.com,['mbfc']
218,barenakedislam.com,"['opensources', 'mbfc']"
219,bearingarms.com,['mbfc']
220,ballotpedia.org,['mbfc']
221,bannedinformation.com,['mbfc']
222,en.bbarta24.net,['mbfc']
223,bbc.com,['mbfc']
224,bangkokpost.com,['mbfc']
225,biggovernment.news,['mbfc']
226,beinglibertarian.com,['mbfc']
227,bignewsnetwork.com,['mbfc']
228,beforeitsnews.com,"['allcott', 'opensources', 'mbfc', 'politifact']"
229,bnd.com,['mbfc']
230,facebook.com,['mbfc']
231,belfercenter.org,['mbfc']
232,beliefnet.com,['mbfc']
233,bigleaguepolitics.com,['mbfc']
234,bigbluevision.org,"['allcott', 'opensources', 'mbfc']"
235,beholdisrael.org,['mbfc']
236,bigamericannews.com,"['opensources', 'mbfc']"
237,billmoyers.com,['mbfc']
238,bettergov.org,['mbfc']
239,berkshireeagle.com,['mbfc']
240,bjreview.com,['mbfc']
241,bigthink.com,['mbfc']
242,bellingcat.com,['mbfc']
243,billingsgazette.com,['mbfc']
244,berkeleyside.com,['mbfc']
245,bloomberg.com,"['allcott', 'mbfc']"
246,bitchmedia.org,['mbfc']
247,blacklivesmatter.com,['mbfc']
248,birminghammail.co.uk,['mbfc']
249,blackagendareport.com,"['opensources', 'mbfc']"
250,blingnews.com,['mbfc']
251,blacklistednews.com,"['opensources', 'mbfc']"
252,biologos.org,['mbfc']
253,bismarcktribune.com,['mbfc']
254,blackgenocide.org,"['opensources', 'mbfc']"
255,bizpacreview.com,"['allcott', 'mbfc']"
256,bipartisanpolicy.org,['mbfc']
257,us.blastingnews.com,"['allcott', 'opensources', 'mbfc']"
258,bing.com,['mbfc']
259,bipartisanreport.com,"['allcott', 'opensources', 'mbfc']"
260,biomedcentral.com,['mbfc']
261,blackpigeonspeaks.com,['mbfc']
262,bizstandardnews.com,"['buzzfeed', 'mbfc']"
263,bio.org,['mbfc']
264,bluevision.news,"['mbfc', 'politifact']"
265,bluelivesmatter.blue,['mbfc']
266,boingboing.net,['mbfc']
267,borderlandalternativemedia.com,['mbfc']
268,blueinformer.com,['mbfc']
269,bluedotdaily.com,['mbfc']
270,bozemandailychronicle.com,['mbfc']
271,bluenationreview.com,"['opensources', 'mbfc']"
272,bostonreview.net,['mbfc']
273,bluestatedaily.com,['mbfc']
274,bluevisionpost.com,"['mbfc', 'politifact']"
275,bgr.com,['mbfc']
276,bostonherald.com,['mbfc']
277,bluenewsnetwork.com,['mbfc']
278,bnonews.com,['mbfc']
279,bluestemprairie.com,['mbfc']
280,bostonglobe.com,['mbfc']
281,bluntforcetruth.com,['mbfc']
282,brexitcentral.com,['mbfc']
283,brennancenter.org,['mbfc']
284,breaking911.com,"['opensources', 'mbfc']"
285,breakingdefense.com,['mbfc']
286,brokenworldnews.com,['mbfc']
287,buffalonews.com,['mbfc']
288,thebulletin.org,['mbfc']
289,breitbartunmasked.com,['mbfc']
290,bullshido.net,['mbfc']
291,brookings.edu,['mbfc']
292,breitbart.com,"['allcott', 'opensources', 'mbfc']"
293,thebreakthrough.org,['mbfc']
294,breakingburgh.com,['mbfc']
295,bridgemi.com,['mbfc']
296,campaignforliberty.org,['mbfc']
297,bullshitnews.org,['mbfc']
298,calwatchdog.com,['mbfc']
299,business2community.com,['mbfc']
300,burrardstreetjournal.com,"['allcott', 'buzzfeed', 'opensources', 'mbfc']"
301,campaignlifecoalition.com,['mbfc']
302,businessinsider.com,['mbfc']
303,calgaryherald.com,['mbfc']
304,calgarysun.com,['mbfc']
305,capoliticalreview.com,['mbfc']
306,bust.com,['mbfc']
307,californiaglobe.com,['mbfc']
308,callthecops.net,"['opensources', 'mbfc']"
309,c-span.org,['mbfc']
310,businesslive.co.za,['mbfc']
311,ca-political.com,['mbfc']
312,bustle.com,['mbfc']
313,buzzfeednews.com,['mbfc']
314,campusreform.org,['mbfc']
315,capitolfax.com,['mbfc']
316,canadafreepress.com,"['opensources', 'mbfc']"
317,carbonated.tv,['mbfc']
318,caribbeanlifenews.com,['mbfc']
319,castanet.net,['mbfc']
320,catholic.org,['mbfc']
321,capitalresearch.org,['mbfc']
322,capecodtimes.com,['mbfc']
323,canadalandshow.com,['mbfc']
324,capitalgazette.com,['mbfc']
325,care2.com,['mbfc']
326,carolinapublicpress.org,['mbfc']
327,cap-news.com,"['opensources', 'mbfc']"
328,cpac.ca,['mbfc']
329,trib.com,['mbfc']
330,canadiandimension.com,['mbfc']
331,capitalandmain.com,['mbfc']
332,cjnews.com,['mbfc']
333,taxpayer.com,['mbfc']
334,carnegieendowment.org,['mbfc']
335,ciponline.org,['mbfc']
336,cnas.org,['mbfc']
337,trueactivist.com,"['allcott', 'opensources', 'mbfc']"
338,centerforinquiry.org,['mbfc']
339,cato.org,"['opensources', 'mbfc']"
340,americanprogress.org,"['opensources', 'mbfc']"
341,cbsnews.com.co,"['opensources', 'mbfc']"
342,prwatch.org,['mbfc']
343,america.cgtn.com,['mbfc']
344,populardemocracy.org,['mbfc']
345,cbsnews.com,['mbfc']
346,publicintegrity.org,['mbfc']
347,c4ss.org,['mbfc']
348,researchantisemitism.ca,['mbfc']
349,cdt.org,['mbfc']
350,cgdev.org,['mbfc']
351,cbc.ca,['mbfc']
352,c4ads.org,['mbfc']
353,opensecrets.org,['mbfc']
354,wvgazettemail.com,['mbfc']
355,cbpp.org,['mbfc']
356,chicagoreader.com,['mbfc']
357,chicagoreporter.com,['mbfc']
358,chinadaily.com.cn,['mbfc']
359,chicagotribune.com,['mbfc']
360,csis.org,['mbfc']
361,chicksonright.com,['mbfc']
362,checkyourfact.com,['mbfc']
363,centerforsecuritypolicy.org,"['opensources', 'mbfc']"
364,cernovich.com,['mbfc']
365,cftni.org,['mbfc']
366,chicago.suntimes.com,['mbfc']
367,charismanews.com,"['opensources', 'mbfc']"
368,cdc.gov,['mbfc']
369,cheddar.com,['mbfc']
370,charlotteobserver.com,['mbfc']
371,christianpost.com,"['opensources', 'mbfc']"
372,chroniclesofdemocracy.com,['mbfc']
373,citizenfreepress.com,['mbfc']
374,circa.com,['mbfc']
375,christiannewsalerts.com,['mbfc']
376,christianitytoday.com,['mbfc']
377,christwire.org,"['opensources', 'mbfc']"
378,chroniclesmagazine.org,"['opensources', 'mbfc']"
379,christiantoday.info,"['mbfc', 'politifact']"
380,christiantimesnewspaper.com,"['allcott', 'opensources', 'mbfc', 'politifact']"
381,carm.org,['mbfc']
382,www1.cbn.com,['mbfc']
383,csmonitor.com,['mbfc']
384,citizencritics.org,['mbfc']
385,chinookobserver.com,['mbfc']
386,cincinnati.com,['mbfc']
387,christianscience.com,['mbfc']
388,christianaction.org,['mbfc']
389,churchmilitant.com,['mbfc']
390,creation.com,['mbfc']
391,cleantechnica.com,['mbfc']
392,civictribune.com,"['buzzfeed', 'opensources', 'mbfc', 'politifact']"
393,citizensforethics.org,['mbfc']
394,clashdaily.com,"['allcott', 'opensources', 'mbfc', 'politifact']"
395,ctj.org,['mbfc']
396,judithcurry.com,['mbfc']
397,legitgov.org,['mbfc']
398,climatechangedispatch.com,['mbfc']
399,nccivitas.org,['mbfc']
400,citizensunited.org,"['opensources', 'mbfc']"
401,climatedepot.com,['mbfc']
402,clickhole.com,"['opensources', 'mbfc']"
403,climateactiontracker.org,['mbfc']
404,city-journal.org,"['opensources', 'mbfc']"
405,citizentruth.org,['mbfc']
406,climatecentral.org,['mbfc']
407,cityworldnews.com,"['opensources', 'mbfc']"
408,clarionproject.org,['mbfc']
409,cityandstateny.com,['mbfc']
410,collective-evolution.com,"['allcott', 'opensources', 'mbfc']"
411,cochrane.org,['mbfc']
412,columbusfreepress.com,['mbfc']
413,gazette.com,['mbfc']
414,cnsnews.com,"['opensources', 'mbfc']"
415,cnbc.com,['mbfc']
416,coasttocoastam.com,"['opensources', 'mbfc']"
417,cjr.org,['mbfc']
418,collectivelyconscious.net,"['opensources', 'mbfc']"
419,columbiadailyherald.com,['mbfc']
420,colddeadhands.us,['mbfc']
421,cnn-globalnews.com,['mbfc']
422,climatefeedback.org,['mbfc']
423,codepink.org,['mbfc']
424,climatesciencewatch.org,['mbfc']
425,colombiareports.com,['mbfc']
426,cnn.com,['mbfc']
427,cnn.com.de,"['buzzfeed', 'mbfc']"
428,cnet.com,['mbfc']
429,dispatch.com,['mbfc']
430,commdiginews.com,['mbfc']
431,concordmonitor.com,['mbfc']
432,csicop.org,['mbfc']
433,ced.org,['mbfc']
434,confederacyofdrones.com,['mbfc']
435,commoncause.org,['mbfc']
436,conservapedia.com,"['opensources', 'mbfc']"
437,cpj.org,['mbfc']
438,concernedwomen.org,['mbfc']
439,commondreams.org,"['opensources', 'mbfc']"
440,conflict-news.com,['mbfc']
441,cei.org,['mbfc']
442,cbo.gov,['mbfc']
443,investigaterussia.org,['mbfc']
444,commentarymagazine.com,"['opensources', 'mbfc']"
445,crfb.org,['mbfc']
446,commonwealmagazine.org,['mbfc']
447,congress.gov,['mbfc']
448,commonwealthfund.org,['mbfc']
449,consciouslifenews.com,"['opensources', 'mbfc']"
450,conservativeinfocorner.us,['mbfc']
451,conservativespirit.com,"['opensources', 'mbfc', 'politifact']"
452,conservativeflashnews.com,"['opensources', 'mbfc', 'politifact']"
453,consmovement.com,['mbfc']
454,conservativebase.com,"['allcott', 'mbfc']"
455,conservative101.com,"['mbfc', 'politifact']"
456,conservativebyte.com,"['opensources', 'mbfc']"
457,conservativedailypost.com,"['allcott', 'opensources', 'mbfc', 'politifact']"
458,conservativefiringline.com,"['allcott', 'opensources', 'mbfc']"
459,consnation.com,"['allcott', 'mbfc']"
460,conservativefighters.com,"['allcott', 'opensources', 'mbfc']"
461,conservativedailynews.com,['mbfc']
462,conservativeopinion.com,['mbfc']
463,conservativemedia.com,['mbfc']
464,conservativehq.com,"['opensources', 'mbfc']"
465,conservativeinstitute.org,['mbfc']
466,conservativearmy88.com,"['allcott', 'mbfc', 'politifact']"
467,conservativefreepress.com,['mbfc']
468,constitutionproject.org,['mbfc']
469,conservativetoday.com,['mbfc']
470,westernjournal.com,['mbfc']
471,conservativereview.com,"['opensources', 'mbfc']"
472,consumerreports.org,['mbfc']
473,conspiracyplanet.com,"['opensources', 'mbfc']"
474,consumerlab.com,['mbfc']
475,consumerist.com,['mbfc']
476,consortiumnews.com,"['opensources', 'mbfc']"
477,conservativepost.com,"['allcott', 'mbfc']"
478,contrailscience.com,['mbfc']
479,conspiracydailyupdate.com,['mbfc']
480,conservativepoliticus.com,"['mbfc', 'politifact']"
481,constitutioncenter.org,['mbfc']
482,rickwells.us,"['allcott', 'opensources', 'mbfc']"
483,conspatriot.com,['mbfc']
484,conspiracyinquirer.com,['mbfc']
485,content.news,['mbfc']
486,counterpropa.com,['mbfc']
487,countable.us,['mbfc']
488,countdowntozerotime.com,"['opensources', 'mbfc']"
489,councilforthenationalinterest.org,['mbfc']
490,cosmicintelligenceagency.com,['mbfc']
491,cosmopolitan.com,['mbfc']
492,countercurrentnews.com,"['opensources', 'mbfc']"
493,cowgernation.com,"['opensources', 'mbfc']"
494,geopolitics.co,['mbfc']
495,corporatepresidency.org,['mbfc']
496,cosmosmagazine.com,['mbfc']
497,cair.com,['mbfc']
498,cookpolitical.com,['mbfc']
499,counterpunch.org,"['opensources', 'mbfc']"
500,counterpsyops.com,"['opensources', 'mbfc']"
501,cfr.org,['mbfc']
502,countercurrents.org,"['opensources', 'mbfc']"
503,courthousenews.com,['mbfc']
504,crimeresearch.org,['mbfc']
505,crimethinc.com,['mbfc']
506,crosscut.com,['mbfc']
507,dccircuitbreaker.org,['mbfc']
508,cp24.com,['mbfc']
509,crooked.com,['mbfc']
510,creationwiki.org,['mbfc']
511,cracked.com,['mbfc']
512,ctmirror.org,['mbfc']
513,cscmediagroupus.com,['mbfc']
514,currentaffairs.org,['mbfc']
515,curvemag.com,['mbfc']
516,crooksandliars.com,['mbfc']
517,ctvnews.ca,['mbfc']
518,credoaction.com,['mbfc']
519,curiousmindmagazine.com,['mbfc']
520,creambmp.com,"['allcott', 'opensources', 'mbfc']"
521,crisismagazine.com,['mbfc']
522,crimeola.com,['mbfc']
523,csglobe.com,['mbfc']
524,law.com,['mbfc']
525,dailyheadlines.net,"['allcott', 'opensources', 'mbfc']"
526,dailyinfobox.com,"['opensources', 'mbfc', 'politifact']"
527,dailyherald.com,['mbfc']
528,dailydems.com,['mbfc']
529,thedailybeast.com,"['allcott', 'opensources', 'mbfc']"
530,dailybuzzlive.com,"['opensources', 'mbfc', 'politifact']"
531,dailydot.com,"['allcott', 'mbfc']"
532,dailyjournalonline.com,['mbfc']
533,thedailyliberator.com,['mbfc']
534,express.co.uk,"['opensources', 'mbfc']"
535,dailymail.co.uk,"['allcott', 'mbfc']"
536,dailynewsbin.com,"['opensources', 'mbfc']"
537,dailycurrant.com,"['buzzfeed', 'opensources', 'mbfc']"
538,dailycaller.com,"['allcott', 'opensources', 'mbfc']"
539,dailyinsidernews.com,['mbfc']
540,mirror.co.uk,['mbfc']
541,dailygrail.com,['mbfc']
542,dailystormer.name,['mbfc']
543,dailypoliticalnewswire.com,['mbfc']
544,dailysignal.com,"['opensources', 'mbfc']"
545,dailyworldupdate.us,"['buzzfeed', 'mbfc']"
546,dailysnark.com,"['opensources', 'mbfc', 'politifact']"
547,dailynotify.com,['mbfc']
548,telegraph.co.uk,['mbfc']
549,dailyrecord.co.uk,['mbfc']
550,dailyusaupdate.com,"['opensources', 'mbfc', 'politifact']"
551,dailysabah.com,['mbfc']
552,dailysurge.com,"['opensources', 'mbfc', 'politifact']"
553,dailyrecord.com,['mbfc']
554,dailyoccupation.com,"['allcott', 'opensources', 'mbfc']"
555,dailypresser.com,"['allcott', 'mbfc']"
556,dallasnews.com,['mbfc']
557,dailystar.co.uk,['mbfc']
558,dailyworldinformation.com,['mbfc']
559,dallasvoice.com,['mbfc']
560,dailysquib.co.uk,"['opensources', 'mbfc']"
561,dailypress.com,['mbfc']
562,davidwolfe.com,"['opensources', 'mbfc']"
563,dawn.com,['mbfc']
564,dcbluedot.com,['mbfc']
565,davidicke.com,['mbfc']
566,daytondailynews.com,['mbfc']
567,darkjournalist.com,['mbfc']
568,dangerous.com,['mbfc']
569,dataasylum.com,"['opensources', 'mbfc']"
570,dcwhispers.com,['mbfc']
571,damreports.com,['mbfc']
572,dcdirtylaundry.com,['mbfc']
573,volkskrant.nl,['mbfc']
574,thedcgazette.com,['mbfc']
575,dcstatesman.com,['mbfc']
576,darientimes.com,['mbfc']
577,deadstate.org,['mbfc']
578,politicaltribune.org,['mbfc']
579,dcreport.org,['mbfc']
580,debka.com,['mbfc']
581,debatepost.com,['mbfc']
582,deadspin.com,['mbfc']
583,defensenews.com,['mbfc']
584,democracychronicles.org,['mbfc']
585,defund.com,"['allcott', 'mbfc']"
586,deathandtaxesmag.com,"['allcott', 'mbfc']"
587,deccanherald.com,['mbfc']
588,defenseone.com,['mbfc']
589,democracynow.org,"['allcott', 'mbfc']"
590,delawareonline.com,['mbfc']
591,deccanchronicle.com,['mbfc']
592,democracyguardian.com,['mbfc']
593,deepleftfield.info,['mbfc']
594,debunkingskeptics.com,"['opensources', 'mbfc']"
595,defiantamerica.com,['mbfc']
596,defendevropa.org,['mbfc']
597,deadline.com,['mbfc']
598,democracy21.org,['mbfc']
599,deepstatenation.com,['mbfc']
600,westword.com,['mbfc']
601,trumpers.online,['mbfc']
602,democraticunderground.com,"['mbfc', 'politifact']"
603,democraticmoms.com,"['mbfc', 'politifact']"
604,derfmagazine.com,"['opensources', 'mbfc']"
605,deseretnews.com,['mbfc']
606,deplorablesreport.com,['mbfc']
607,freep.com,['mbfc']
608,desertsun.com,['mbfc']
609,desmoinesregister.com,['mbfc']
610,desmogblog.com,['mbfc']
611,deplorablemovement2020.news,['mbfc']
612,demos.org,['mbfc']
613,detroitnews.com,['mbfc']
614,denverpost.com,['mbfc']
615,democratandchronicle.com,['mbfc']
616,denverguardian.com,"['opensources', 'mbfc']"
617,diversityinc.com,['mbfc']
618,differencebetween.net,['mbfc']
619,downsizinggovernment.org,['mbfc']
620,donaldtrumpnews.co,"['allcott', 'opensources', 'mbfc']"
621,zeit.de,['mbfc']
622,disobedientmedia.com,['mbfc']
623,draxe.com,['mbfc']
624,discoverthenetworks.org,['mbfc']
625,downtrend.com,"['allcott', 'opensources', 'mbfc']"
626,doctorswithoutborders.org,['mbfc']
627,doubtfulnews.com,['mbfc']
628,discovery.org,['mbfc']
629,digitaljournal.com,['mbfc']
630,doctoroz.com,['mbfc']
631,digg.com,"['allcott', 'mbfc']"
632,disclose.tv,"['opensources', 'mbfc', 'politifact']"
633,dissentmagazine.org,"['opensources', 'mbfc']"
634,dpa-international.com,['mbfc']
635,discovermagazine.com,['mbfc']
636,earthfirstjournal.org,['mbfc']
637,dutchdailynews.com,['mbfc']
638,ewao.com,"['opensources', 'mbfc']"
639,dutchreview.com,['mbfc']
640,earthmagazine.org,['mbfc']
641,drainingtheswamp.info,['mbfc']
642,eagleactionreport.com,['mbfc']
643,duluthnewstribune.com,['mbfc']
644,earthjustice.org,['mbfc']
645,duffelblog.com,"['mbfc', 'politifact']"
646,earthsky.org,['mbfc']
647,earthnews2016.com,['mbfc']
648,earth.columbia.edu,['mbfc']
649,eaglerising.com,"['allcott', 'opensources', 'mbfc']"
650,drudge.com,['mbfc']
651,duhprogressive.com,"['opensources', 'mbfc']"
652,drudgereport.com,"['opensources', 'mbfc']"
653,dw.com,['mbfc']
654,educate-yourself.org,"['opensources', 'mbfc']"
655,educateinspirechange.org,"['allcott', 'opensources', 'mbfc']"
656,electoral-vote.com,['mbfc']
657,epi.org,['mbfc']
658,economicpolicyjournal.com,['mbfc']
659,eastbaytimes.com,['mbfc']
660,egbertowillies.com,['mbfc']
661,edmontonjournal.com,['mbfc']
662,ejinsight.com,['mbfc']
663,economicshelp.org,['mbfc']
664,earthpulse.com,['mbfc']
665,elpasotimes.com,['mbfc']
666,economyincrisis.org,['mbfc']
667,edmontonsun.com,['mbfc']
668,egyptianstreets.com,['mbfc']
669,ecowatch.com,"['opensources', 'mbfc']"
670,econewsmedia.org,['mbfc']
671,edge.org,['mbfc']
672,elpais.com,['mbfc']
673,engadget.com,['mbfc']
674,electronicintifada.net,['mbfc']
675,emirates247.com,['mbfc']
676,empirenews.net,"['opensources', 'buzzfeed', 'politifact', 'allcott', 'mbfc']"
677,endingthefed.com,"['allcott', 'opensources', 'mbfc']"
678,empireherald.com,"['buzzfeed', 'opensources', 'mbfc', 'politifact']"
679,eff.org,['mbfc']
680,emptywheel.net,"['opensources', 'mbfc']"
681,encyclopediadramatica.rs,['mbfc']
682,eluxemagazine.com,['mbfc']
683,en-volve.com,"['allcott', 'mbfc', 'politifact']"
684,embols.com,"['allcott', 'opensources', 'mbfc']"
685,enduringvision.com,"['opensources', 'mbfc']"
686,energycitizens.org,['mbfc']
687,elisabethparker.com,['mbfc']
688,elitedaily.com,['mbfc']
689,empiresports.co,"['buzzfeed', 'opensources', 'mbfc', 'politifact']"
690,britannica.com,['mbfc']
691,endtimeheadlines.org,['mbfc']
692,eurasiagroup.net,['mbfc']
693,goerie.com,['mbfc']
694,ewg.org,['mbfc']
695,news.err.ee,['mbfc']
696,enhlive.com,"['opensources', 'mbfc', 'politifact']"
697,escapeallthesethings.com,['mbfc']
698,esquire.com,['mbfc']
699,eveningharold.com,['mbfc']
700,euronews.com,['mbfc']
701,erlc.com,['mbfc']
702,euobserver.com,['mbfc']
703,everycrsreport.com,['mbfc']
704,euractiv.com,['mbfc']
